municipality,group,variable,month,TOTAL
BERMEJO,eventos - notificacion inmediata parte ii,inundacion,2022-01-01,7.0
CHIPAYA,eventos - notificacion inmediata parte ii,inundacion,2022-01-01,181.0
SAN ANDRES DE MACHACA,eventos - notificacion inmediata parte ii,inundacion,2022-01-01,38.0
TOLEDO,eventos - notificacion inmediata parte ii,inundacion,2022-01-01,6.0
TUPIZA,eventos - notificacion inmediata parte ii,inundacion,2022-01-01,19.0
VILLA MONTES,eventos - notificacion inmediata parte ii,inundacion,2022-01-01,80.0
CAJUATA,eventos - notificacion inmediata parte ii,inundacion,2022-02-01,4.0
PADCAYA,eventos - notificacion inmediata parte ii,inundacion,2022-02-01,20.0
SAN ANDRES DE MACHACA,eventos - notificacion inmediata parte ii,inundacion,2022-02-01,26.0
LAJA,eventos - notificacion inmediata parte ii,inundacion,2022-03-01,11.0
TIAHUANACU,eventos - notificacion inmediata parte ii,inundacion,2022-03-01,9.0
COTOCA,eventos - notificacion inmediata parte ii,inundacion,2022-04-01,201.0
SANTA CRUZ DE LA SIERRA,eventos - notificacion inmediata parte ii,inundacion,2022-06-01,1.0
SUCRE,eventos - notificacion inmediata parte ii,inundacion,2022-10-01,34.0
SOPACHUY,eventos - notificacion inmediata parte ii,inundacion,2022-12-01,1.0
